2025-06-25 23:21:57.337 [main] INFO  com.anji.captcha.util.ImageUtils - 自定义resource底图:[SLIDING_BLOCK=[Ljava.lang.String;@3bb75054, ORIGINAL=[Ljava.lang.String;@d980dac, PIC_CLICK=[Ljava.lang.String;@15329cf9]
2025-06-25 23:21:57.339 [main] INFO  c.anji.captcha.service.impl.CaptchaServiceFactory - supported-captchaCache-service:[local]
2025-06-25 23:21:57.345 [main] INFO  c.anji.captcha.service.impl.CaptchaServiceFactory - supported-captchaTypes-service:[clickWord, default, blockPuzzle]
2025-06-25 23:21:57.345 [main] INFO  c.a.c.service.impl.ClickWordCaptchaServiceImpl - --->>>初始化验证码底图<<<---clickWord
2025-06-25 23:21:57.489 [main] INFO  c.a.c.service.impl.BlockPuzzleCaptchaServiceImpl - --->>>初始化验证码底图<<<---blockPuzzle
2025-06-25 23:21:59.552 [main] INFO  o.s.b.actuate.endpoint.web.EndpointLinksResolver - Exposing 2 endpoint(s) beneath base path '/actuator'
2025-06-25 23:21:59.815 [main] INFO  o.s.security.web.DefaultSecurityFilterChain - Creating filter chain: any request, [org.springframework.security.web.context.request.async.WebAsyncManagerIntegrationFilter@79948bcf, org.springframework.security.web.context.SecurityContextPersistenceFilter@674f6286, org.springframework.security.web.header.HeaderWriterFilter@7b8b458e, org.springframework.security.web.authentication.logout.LogoutFilter@12e7664b, org.springframework.security.web.savedrequest.RequestCacheAwareFilter@7da837af, org.springframework.security.web.servletapi.SecurityContextHolderAwareRequestFilter@13dabbb9, org.springframework.security.web.authentication.AnonymousAuthenticationFilter@5c8ba2ed, org.springframework.security.web.session.SessionManagementFilter@1dfa18a6, org.springframework.security.web.access.ExceptionTranslationFilter@46569cab, org.springframework.security.web.access.intercept.FilterSecurityInterceptor@6f56e5c]
2025-06-25 23:22:00.166 [main] INFO  org.redisson.Version - Redisson 3.14.1
2025-06-25 23:22:00.688 [redisson-netty-2-17] INFO  o.r.connection.pool.MasterPubSubConnectionPool - 1 connections initialized for /43.138.4.152:6379
2025-06-25 23:22:00.918 [redisson-netty-2-19] INFO  org.redisson.connection.pool.MasterConnectionPool - 24 connections initialized for /43.138.4.152:6379
2025-06-25 23:22:01.048 [main] INFO  s.d.s.w.PropertySourcedRequestMappingHandlerMapping - Mapped URL path [/v2/api-docs] onto method [springfox.documentation.swagger2.web.Swagger2Controller#getDocumentation(String, HttpServletRequest)]
2025-06-25 23:22:01.075 [main] INFO  o.s.scheduling.concurrent.ThreadPoolTaskExecutor - Initializing ExecutorService
2025-06-25 23:22:01.077 [main] INFO  o.s.scheduling.concurrent.ThreadPoolTaskExecutor - Initializing ExecutorService 'taskExecutor'
2025-06-25 23:22:02.005 [main] INFO  s.d.s.web.plugins.DocumentationPluginsBootstrapper - Context refreshed
2025-06-25 23:22:02.060 [main] INFO  s.d.s.web.plugins.DocumentationPluginsBootstrapper - Found 2 custom documentation plugin(s)
2025-06-25 23:22:02.112 [main] INFO  s.d.spring.web.scanners.ApiListingReferenceScanner - Scanning for api listing references
2025-06-25 23:22:03.102 [main] INFO  s.d.spring.web.scanners.ApiListingReferenceScanner - Scanning for api listing references
2025-06-25 23:22:03.117 [main] INFO  org.apache.coyote.http11.Http11NioProtocol - Starting ProtocolHandler ["http-nio-20002"]
2025-06-25 23:22:03.147 [main] INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer - Tomcat started on port(s): 20002 (http) with context path ''
2025-06-25 23:22:03.152 [main] INFO  com.zbkj.pc.CrmebPcApplication - Started CrmebPcApplication in 26.277 seconds (JVM running for 26.974)
2025-06-25 23:22:09.820 [http-nio-20002-exec-1] INFO  org.apache.tomcat.util.http.parser.Cookie - A cookie header was received [1750642704,1750732318,1750812600] that contained an invalid cookie. That cookie will be ignored.
 Note: further occurrences of this error will be logged at DEBUG level.
2025-06-25 23:22:09.829 [http-nio-20002-exec-1] INFO  o.a.c.core.ContainerBase.[Tomcat].[localhost].[/] - Initializing Spring DispatcherServlet 'dispatcherServlet'
2025-06-25 23:22:09.829 [http-nio-20002-exec-1] INFO  org.springframework.web.servlet.DispatcherServlet - Initializing Servlet 'dispatcherServlet'
2025-06-25 23:22:09.841 [http-nio-20002-exec-1] INFO  org.springframework.web.servlet.DispatcherServlet - Completed initialization in 12 ms
2025-06-25 23:24:06.989 [SpringContextShutdownHook] INFO  o.s.scheduling.concurrent.ThreadPoolTaskExecutor - Shutting down ExecutorService 'taskExecutor'
2025-06-25 23:24:07.068 [SpringContextShutdownHook] INFO  com.alibaba.druid.pool.DruidDataSource - {dataSource-0} closing ...
2025-06-25 23:24:14.614 [main] INFO  com.zbkj.pc.CrmebPcApplication - Starting CrmebPcApplication on macdeMacBook-Pro.local with PID 8390 (/Users/mac/tool/商城装修系统/finance/finance-pc/target/classes started by mac in /Users/mac/tool/商城装修系统/finance/finance-pc)
2025-06-25 23:24:14.615 [main] INFO  com.zbkj.pc.CrmebPcApplication - The following profiles are active: dev
2025-06-25 23:24:16.332 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Multiple Spring Data modules found, entering strict repository configuration mode!
2025-06-25 23:24:16.334 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Bootstrapping Spring Data Redis repositories in DEFAULT mode.
2025-06-25 23:24:16.358 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 10ms. Found 0 Redis repository interfaces.
2025-06-25 23:24:17.725 [main] INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer - Tomcat initialized with port(s): 20002 (http)
2025-06-25 23:24:17.737 [main] INFO  org.apache.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-20002"]
2025-06-25 23:24:17.737 [main] INFO  org.apache.catalina.core.StandardService - Starting service [Tomcat]
2025-06-25 23:24:17.737 [main] INFO  org.apache.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/9.0.33]
2025-06-25 23:24:18.022 [main] INFO  org.apache.jasper.servlet.TldScanner - At least one JAR was scanned for TLDs yet contained no TLDs. Enable debug logging for this logger for a complete list of JARs that were scanned but no TLDs were found in them. Skipping unneeded JARs during scanning can improve startup time and JSP compilation time.
2025-06-25 23:24:18.028 [main] INFO  o.a.c.c.ContainerBase.[Tomcat].[localhost].[/api] - Initializing Spring embedded WebApplicationContext
2025-06-25 23:24:18.028 [main] INFO  org.springframework.web.context.ContextLoader - Root WebApplicationContext: initialization completed in 3348 ms
2025-06-25 23:24:29.512 [main] INFO  c.a.c.config.AjCaptchaServiceAutoConfiguration - 自定义配置项：
AjCaptchaProperties{type=DEFAULT, jigsaw='classpath:images/jigsaw', picClick='classpath:images/pic-click', waterMark='CRMEB Java', waterFont='WenQuanZhengHei.ttf', fontType='WenQuanZhengHei.ttf', slipOffset='5', aesStatus=true, interferenceOptions='2', cacheNumber='1000', timingClear='3600', cacheType=redis, reqFrequencyLimitEnable=false, reqGetLockLimit=5, reqGetLockSeconds=360, reqGetMinuteLimit=30, reqCheckMinuteLimit=60, reqVerifyMinuteLimit=60}
2025-06-25 23:24:29.535 [main] INFO  com.anji.captcha.util.ImageUtils - 自定义resource底图:[SLIDING_BLOCK=[Ljava.lang.String;@c76c029, ORIGINAL=[Ljava.lang.String;@4435c9b9, PIC_CLICK=[Ljava.lang.String;@204ce262]
2025-06-25 23:24:29.536 [main] INFO  c.anji.captcha.service.impl.CaptchaServiceFactory - supported-captchaCache-service:[local]
2025-06-25 23:24:29.540 [main] INFO  c.anji.captcha.service.impl.CaptchaServiceFactory - supported-captchaTypes-service:[clickWord, default, blockPuzzle]
2025-06-25 23:24:29.540 [main] INFO  c.a.c.service.impl.ClickWordCaptchaServiceImpl - --->>>初始化验证码底图<<<---clickWord
2025-06-25 23:24:29.666 [main] INFO  c.a.c.service.impl.BlockPuzzleCaptchaServiceImpl - --->>>初始化验证码底图<<<---blockPuzzle
2025-06-25 23:24:31.616 [main] INFO  o.s.b.actuate.endpoint.web.EndpointLinksResolver - Exposing 2 endpoint(s) beneath base path '/actuator'
